starters,mode,track,pool,date,length,ground,cond,ref,corde,Q1,P1,P2,P3,PMU1,OUV1,S/A1,BOX1,DELTA1,NAME1,PMU2,OUV2,S/A2,BOX2,DELTA2,NAME2,PMU3,OUV3,S/A3,BOX3,DELTA3,NAME3,PMU4,OUV4,S/A4,BOX4,DELTA4,NAME4,PMU5,OUV5,S/A5,BOX5,DELTA5,NAME5,PMU6,OUV6,S/A6,BOX6,DELTA6,NAME6,PMU7,OUV7,S/A7,BOX7,DELTA7,NAME7,PMU8,OUV8,S/A8,BOX8,DELTA8,NAME8,PMU9,OUV9,S/A9,BOX9,DELTA9,NAME9,PMU10,OUV10,S/A10,BOX10,DELTA10,NAME10,PMU11,OUV11,S/A11,BOX11,DELTA11,NAME11,PMU12,OUV12,S/A12,BOX12,DELTA12,NAME12,PMU13,OUV13,S/A13,BOX13,DELTA13,NAME13,PMU14,OUV14,S/A14,BOX14,DELTA14,NAME14,PMU15,OUV15,S/A15,BOX15,DELTA15,NAME15,PMU16,OUV16,S/A16,BOX16,DELTA16,NAME16,PMU17,OUV17,S/A17,BOX17,DELTA17,NAME17,PMU18,OUV18,S/A18,BOX18,DELTA18,NAME18,PMU19,OUV19,S/A19,BOX19,DELTA19,NAME19,PMU20,OUV20,S/A20,BOX20,DELTA20,NAME20,link
16,Handicap divise,Deauville,50.000EU,2011-01-03,1.500 m,sand,Bon terrain,Ref: +17.5,right,14.90 EU,11.20 EU,3.00 EU,1.40 EU,55.0,39.0,H8,12,NaN,Vantage-Point-E2-817504,10.0,10.0,M5,16,cte tete,Caerleon-Wind-IRE-936437,4.3,5.0,M5,1,enc.,Yangon-USA-903118,11.0,10.0,H5,5,d.-h.,Huangdi-930446,20.0,16.0,H6,2,1,Tau-(GB)-E2-874353,28.0,26.0,M6,6,tete,Trajano-USA-889628,6.5,7.5,F4,14,cte tete,Yes-I-Do-980747,17.0,18.0,M5,8,cte tete,Sanaudou-922093,42.0,33.0,M7,3,1/2,Slickly-Royal-843018,9.8,10.0,H7,4,cte tete,Jodhpur-(GB)-861554,21.0,20.0,M6,15,NaN,Tuaoi-USA-874388,10.0,12.0,H4,13,NaN,Verglacial-IRE-948872,35.0,25.0,H7,10,NaN,Psy-Chic-E1-843117,16.0,17.0,H6,7,NaN,Tryst-GB-915750,19.0,14.0,F7,9,NaN,Voxna-E1-848408,49.0,37.0,H7,11,NaN,Mesa-Marauder-(GB)-880188,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,https://www.paris-turf.com/programme-courses/2011-01-03/reunion-deauville/resultats-rapports/prix-de-la-baie-de-seine-762276
15,Handicap divise,Deauville,19.000EU,2011-01-03,1.500 m,sand,Bon terrain,Ref: +27,right,5.00 EU,2.00 EU,1.60 EU,3.40 EU,5.0,9.0,H5,14,NaN,Larmont-903075,4.3,5.3,H5,15,3,Agnès-Champ-902814,12.0,14.0,F4,7,cte enc.,Morning-Glory-978846,5.5,6.8,H4,2,tete,Grand-Lucius-968408,9.8,11.0,F5,10,1/2,Aldoussa-922285,17.0,18.0,F4,8,cte enc.,Amavie-971551,24.0,17.0,F4,6,tete,Pearl-Argyle-950881,18.0,22.0,H7,12,1/2,Spring-is-Here-FR-E2-851191,36.0,29.0,F5,1,tete,Solaria-E1-924434,40.0,22.0,M9,5,cte enc.,De-Zéphyr-E2-827928,18.0,12.0,F4,9,NaN,Itri-942526,23.0,22.0,M8,13,NaN,Electric-Roi-GER-855180,27.0,12.0,M8,3,NaN,Mesnil-des-Aigles-E3-816666,60.0,31.0,F7,11,NaN,Star-Val-E3-880198,58.0,28.0,F4,16,NaN,Just-Maybe-E1-938853,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,https://www.paris-turf.com/programme-courses/2011-01-03/reunion-deauville/resultats-rapports/prix-de-la-seine-maritime-762288
16,Handicap divise,Deauville,24.000EU,2011-01-03,1.500 m,sand,Bon terrain,Ref: +23,right,3.60 EU,2.10 EU,3.00 EU,3.00 EU,4.5,6.5,F5,13,NaN,Sargasses-E1-941309,9.0,10.0,H6,7,enc.,Barricado-919281,16.0,7.8,F7,8,1/2,Surtsey-E1-855211,11.0,24.0,M4,3,nez,Bull-Gree-(IRE)-971936,69.0,46.0,H10,5,3/4,Spanish-Moss-(IRE)-761621,43.0,22.0,M4,11,tete,Alkmaar-(GB)-956634,7.5,9.5,H5,16,cte enc.,Caraziyan-940634,14.0,12.0,M9,6,cte tete,Menestrol-797520,25.0,26.0,H7,15,cte tete,Hot-Spot-865944,26.0,36.0,M4,1,tete,Best-of-Order-IRE-954660,30.0,12.0,H7,2,NaN,All-Ways-To-Rome-877056,13.0,12.0,H5,4,NaN,Hi-Shinko-GB-995029,20.0,24.0,M5,12,NaN,Sabantuy-GB-918125,33.0,14.0,H6,10,NaN,Vestris-(IRE)-909628,20.0,17.0,F4,9,NaN,Delta-Black-Sheep-963132,7.5,9.5,M5,14,NaN,Royally-GB-903369,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,https://www.paris-turf.com/programme-courses/2011-01-03/reunion-deauville/resultats-rapports/prix-de-la-vallee-de-la-seine-762297
17,Handicap divise,Deauville,18.000EU,2011-01-03,1.900 m,sand,Bon terrain,Ref: +32,right,19.20 EU,5.50 EU,2.70 EU,8.20 EU,19.0,12.0,F4,17,NaN,Wanate-IRE-953975,7.0,8.8,H4,13,3/4,Novy-Nick-956515,35.0,21.0,H4,2,tete,Hello-My-Dear-E2-951796,26.0,25.0,F4,9,3/4,Talissa-951810,8.8,10.0,F4,18,1/2,Tifalbala-993200,6.5,8.3,F4,1,tete,Glorious-Love-947065,61.0,27.0,F4,5,tete,Very-Best-948240,4.0,11.0,M4,15,tete,Three-Points-GER-979190,9.0,8.0,F4,6,cte enc.,Maria-Médici-956539,17.0,10.0,M4,16,3/4,Glasclune-IRE-946372,42.0,17.0,F4,11,NaN,City-Veux-E1-972176,25.0,19.0,F4,8,NaN,Alcolea-GB-953976,32.0,24.0,M4,10,NaN,Mythic-Tango-986598,23.0,15.0,H4,12,NaN,Flamenko-(GB)-E1-959473,106.0,45.0,H4,4,NaN,Viamare-947199,27.0,16.0,M4,7,NaN,El-Miesquo-E2-944339,106.0,46.0,F4,3,NaN,Rugia-Bomba-966484,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,https://www.paris-turf.com/programme-courses/2011-01-03/reunion-deauville/resultats-rapports/prix-du-bois-aux-proux-762290
17,Handicap divise,Deauville,20.000EU,2011-01-03,1.900 m,sand,Bon terrain,Ref: +25,right,4.70 EU,2.80 EU,2.40 EU,1.80 EU,8.5,13.0,H4,13,NaN,Mystic-Joy-(IRE)-E1-958365,10.0,12.0,H4,18,enc.,Red-and-White-953964,4.5,5.8,H4,12,cte tete,Titus-Béré-943802,26.0,23.0,H4,8,1 1/2,Lord-Howe-GER-976062,10.0,8.3,F4,3,cte enc.,Mélodie-d'Azé-E1-964111,16.0,14.0,H4,17,1/2,Kepresh-941252,17.0,13.0,F4,7,1/2,Belle-du-Taillis-991082,8.0,9.0,F4,9,cte tete,Emotional-Rescue-E3-948251,21.0,19.0,M4,4,3/4,Mashuk-(GB)-947306,22.0,14.0,F4,5,1 1/2,Miss-Julia-943411,10.0,9.5,F4,15,NaN,Ashtarana-981420,34.0,35.0,F4,6,NaN,Miss-Dunanerie-976417,23.0,24.0,H4,2,NaN,Quentindemontargis-952737,18.0,17.0,F4,16,NaN,Written-In-The-Sky-984422,96.0,50.0,F4,14,NaN,Egéry-976372,102.0,56.0,F4,11,NaN,Belle-Amie-(IRE)-952148,81.0,35.0,F4,1,NaN,Izadia-E3-962784,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,https://www.paris-turf.com/programme-courses/2011-01-03/reunion-deauville/resultats-rapports/prix-du-bois-hamiot-762284
18,Handicap divise,Pau,20.000EU,2011-01-04,1.900 m,sand,Bon terrain,Ref: +27.5,right,3.00 EU,1.70 EU,10.10 EU,2.40 EU,6.0,6.5,M6,8,NaN,Abades-E1-878222,44.0,20.0,H7,6,4,Galodor-871203,6.5,7.5,H8,16,2,Horizon-Lointain-842150,6.3,12.0,M5,18,2,Tropical-Rain-925069,53.0,41.0,M6,4,3/4,Salsarix-897000,27.0,17.0,H5,2,cte tete,Beauvoisin-916116,12.0,7.0,H8,3,1 1/2,El-Vettorio-GER-E1-857486,16.0,20.0,H8,15,enc.,Anchoreiner-821581,55.0,40.0,M5,1,cte enc.,Angel-Melody-943504,11.0,14.0,F7,7,2,Lucky-Number-863110,36.0,11.0,H6,5,NaN,Rey-Davis-IRE-E2-883856,71.0,37.0,M5,13,NaN,Quatermain-GB-E2-915573,13.0,12.0,H5,10,NaN,Ashdeuzo-925071,16.0,24.0,H6,9,NaN,Hornedo-895141,100.0,122.0,F5,14,NaN,Via-Salsa-920267,15.0,20.0,H5,12,NaN,Born-Lucky-915285,53.0,23.0,H7,11,NaN,Stendhalien-877057,55.0,22.0,M5,17,NaN,Lennox-Law-(IRE)-E1-936304,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,https://www.paris-turf.com/programme-courses/2011-01-04/reunion-pau/resultats-rapports/prix-pmu-les-colonnes-pau-761826
17,Handicap divise,Pau,16.000EU,2011-01-04,1.900 m,sand,Bon terrain,Ref: +36,right,2.60 EU,1.40 EU,3.90 EU,9.40 EU,2.6,3.0,H8,1,NaN,Cuban-816577,14.0,13.0,M6,11,1 1/2,Ericonouchou-873642,66.0,51.0,H8,4,1 1/2,Bartholdi-(IRE)-815327,86.0,35.0,H11,2,1 1/2,De-Phazz-IRE-746391,4.5,9.0,M7,12,3,Atilano-(IRE)-855744,47.0,41.0,F8,6,2 1/2,Living-History-837698,63.0,23.0,F6,15,enc.,Lulu-de-Ré-882812,21.0,16.0,H8,9,1 1/2,Guanaderia-E1-826119,27.0,17.0,H5,17,2,Bipe-The-Dust-E1-924217,17.0,16.0,H7,16,2,Bomber-Pilot-(IRE)-E1-843405,8.0,9.0,F6,10,NaN,Festivalière-894848,75.0,65.0,F5,14,NaN,Anthropologie-(IRE)-922387,56.0,64.0,H6,5,NaN,Bloody-Winter-907819,133.0,160.0,F5,7,NaN,Isaquerry-918672,76.0,54.0,F9,8,NaN,House-Blend-(IRE)-788121,9.5,21.0,F7,3,NaN,Testa-Mora-861321,114.0,50.0,H6,13,NaN,Lasos-909630,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,https://www.paris-turf.com/programme-courses/2011-01-04/reunion-pau/resultats-rapports/prix-pmu-tabac-journaux-des-5-cantons-anglet-761827
13,Handicap,Pau,18.000EU,2011-01-06,2.400 m,sand,Bon terrain,Ref: +26,right,11.00 EU,2.60 EU,2.90 EU,1.40 EU,11.0,7.3,F4,11,NaN,Jolie-Laide-(IRE)-943851,13.0,25.0,H4,5,cte enc.,Slick-Knight-(GB)-963399,2.5,3.3,F4,14,1/2,Missoula-971955,5.3,7.0,M4,4,3/4,Bonne-Chance-974204,14.0,14.0,H4,3,1/2,Sansibar-IRE-969577,35.0,21.0,H4,13,3,Marlinas-955300,11.0,11.0,H4,10,5,Zizurkil-GB-E1-947160,56.0,28.0,F4,1,enc.,Pépite-du-Rheu-984633,30.0,23.0,H4,9,2,Singapore-Gift-E1-944580,9.0,9.3,H4,12,3/4,Commando-Cat-959894,61.0,30.0,F4,6,NaN,Paulea-(GB)-976653,60.0,52.0,H4,8,NaN,Rockson-956489,43.0,26.0,H4,7,NaN,Marmous-Traou-Land-964467,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,https://www.paris-turf.com/programme-courses/2011-01-06/reunion-pau/resultats-rapports/prix-de-theze-761881
17,Handicap divise,Deauville,50.000EU,2011-01-07,1.900 m,sand,Bon terrain,Ref: +20,right,8.80 EU,3.50 EU,6.70 EU,3.00 EU,8.8,11.0,M4,10,NaN,Anaxis-951794,24.0,25.0,F4,16,1 1/2,Kilea-962993,8.5,8.3,H5,14,cte enc.,Tiger-Village-GB-943247,22.0,20.0,M5,9,3/4,Chombo-916060,4.8,5.0,H7,8,1/2,Lion-de-l'Odet-(GB)-861407,7.0,8.3,F4,2,1/2,Dolce-Bambina-961163,12.0,12.0,H5,4,1 1/2,Party-Animal-903249,9.8,11.0,F4,3,1/2,Vernazza-(IRE)-949157,21.0,16.0,H7,15,2,Jack-Junior-USA-862372,24.0,20.0,H7,17,enc.,Zimri-864046,27.0,22.0,F6,11,NaN,Churriana-(IRE)-908147,42.0,33.0,M4,1,NaN,Super-Jo-IRE-970982,25.0,26.0,M5,18,NaN,Maidstone-Mealy-929753,56.0,46.0,H6,5,NaN,Assafair-873541,56.0,45.0,M4,7,NaN,Benadalid-951381,62.0,52.0,F5,12,NaN,Citybelle-923668,16.0,14.0,H7,13,NaN,Cadran-859473,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,https://www.paris-turf.com/programme-courses/2011-01-07/reunion-deauville/resultats-rapports/prix-du-pays-d-ouche-761884
17,Handicap divise,Deauville,24.000EU,2011-01-07,1.900 m,sand,Bon terrain,Ref: +27,right,9.50 EU,3.00 EU,5.60 EU,2.50 EU,9.5,17.0,M6,1,NaN,Cherry-Linx-(IRE)-905695,17.0,16.0,H8,10,3,Aragog-E2-847501,7.5,13.0,H6,9,tete,Corps-de-Garde-907818,18.0,11.0,M9,8,3/4,The-French-825112,18.0,12.0,H6,2,1,Pasagarde-874040,4.0,4.8,H5,12,3/4,Un-Certainmonsieur-944181,12.0,21.0,H6,13,1,Bank-Guard-(IRE)-E1-873565,17.0,15.0,M5,5,cte enc.,Nexcity-E2-931605,29.0,17.0,H5,3,cte enc.,Gaëlique-Show-E1-913479,29.0,28.0,H6,18,cte enc.,Enrisy-891564,43.0,27.0,M6,7,NaN,Jamindar-(IRE)-897474,20.0,15.0,F5,6,NaN,Tinéra-939693,20.0,22.0,H6,14,NaN,Minikos-873951,32.0,29.0,H7,16,NaN,Like-to-Golf-USA-893639,49.0,34.0,H5,17,NaN,Vera's-Moscou-IRE-E2-916125,75.0,35.0,F5,11,NaN,Flyingwithbebe-USA-919587,34.0,17.0,H6,4,NaN,El-Puerto-E2-873630,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,https://www.paris-turf.com/programme-courses/2011-01-07/reunion-deauville/resultats-rapports/prix-de-l-aigle-761894
